# _root_ " Ima se za gostilničarja , pa ne ve , kaj je polič . "
#goldHeads=7,7,2,2,4,7,0,9,7,12,12,9,12,7,7,
#predictedHeads=7,7,7,7,4,7,0,7,7,7,7,7,7,0,0,
(4,12),(12,13),0.898461 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),0.686018 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),0.696661 # DEPENDENCYPART_GRANDPAR
(4,13),(13,1),0.239938 # DEPENDENCYPART_GRANDPAR
(4,13),(13,2),0.330964 # DEPENDENCYPART_GRANDPAR
(4,13),(13,3),0.238468 # DEPENDENCYPART_GRANDPAR
(4,13),(13,4),0.731949 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,13),(13,5),0.961088 # DEPENDENCYPART_GRANDPAR
(4,13),(13,6),0.744143 # DEPENDENCYPART_GRANDPAR
(4,13),(13,7),0.739918 # DEPENDENCYPART_GRANDPAR
(4,13),(13,8),0.712083 # DEPENDENCYPART_GRANDPAR
(4,13),(13,9),0.860992 # DEPENDENCYPART_GRANDPAR
(4,13),(13,10),0.725518 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),0.686782 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),0.834884 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),0.687099 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),0.697381 # DEPENDENCYPART_GRANDPAR
(4,14),(14,1),0.239483 # DEPENDENCYPART_GRANDPAR
(4,14),(14,2),0.330508 # DEPENDENCYPART_GRANDPAR
(4,14),(14,3),0.238012 # DEPENDENCYPART_GRANDPAR
(4,14),(14,4),0.725447 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,14),(14,5),0.954554 # DEPENDENCYPART_GRANDPAR
(4,14),(14,6),0.729988 # DEPENDENCYPART_GRANDPAR
(4,14),(14,7),0.733144 # DEPENDENCYPART_GRANDPAR
(4,14),(14,8),0.705428 # DEPENDENCYPART_GRANDPAR
(4,14),(14,9),0.85434 # DEPENDENCYPART_GRANDPAR
(4,14),(14,10),0.711362 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),0.679521 # DEPENDENCYPART_GRANDPAR
(4,14),(14,12),0.827871 # DEPENDENCYPART_GRANDPAR
(4,14),(14,13),0.905096 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),0.695058 # DEPENDENCYPART_GRANDPAR
(4,15),(15,1),0.239483 # DEPENDENCYPART_GRANDPAR
(4,15),(15,2),0.330508 # DEPENDENCYPART_GRANDPAR
(4,15),(15,3),0.238012 # DEPENDENCYPART_GRANDPAR
(4,15),(15,4),0.725447 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,15),(15,5),0.954554 # DEPENDENCYPART_GRANDPAR
(4,15),(15,6),0.729988 # DEPENDENCYPART_GRANDPAR
(4,15),(15,7),0.733144 # DEPENDENCYPART_GRANDPAR
(4,15),(15,8),0.705428 # DEPENDENCYPART_GRANDPAR
(4,15),(15,9),0.85434 # DEPENDENCYPART_GRANDPAR
(4,15),(15,10),0.711362 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),0.679521 # DEPENDENCYPART_GRANDPAR
(4,15),(15,12),0.827871 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),0.905096 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),0.696631 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),0.391698 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),0.363097 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),0.366185 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),0.711912 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),0.641151 # DEPENDENCYPART_GRANDPAR
(5,1),(1,7),0.650722 # DEPENDENCYPART_GRANDPAR
(5,1),(1,8),0.608521 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),0.678622 # DEPENDENCYPART_GRANDPAR
(5,1),(1,10),0.597138 # DEPENDENCYPART_GRANDPAR
(5,1),(1,11),0.598916 # DEPENDENCYPART_GRANDPAR
(5,1),(1,12),0.652579 # DEPENDENCYPART_GRANDPAR
(5,1),(1,13),0.707314 # DEPENDENCYPART_GRANDPAR
(5,1),(1,14),0.607803 # DEPENDENCYPART_GRANDPAR
(5,1),(1,15),0.601963 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.372582 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.36242 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.365696 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),0.712118 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),0.641151 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),0.65084 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),0.608521 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),0.678622 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),0.597138 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),0.598916 # DEPENDENCYPART_GRANDPAR
(5,2),(2,12),0.652579 # DEPENDENCYPART_GRANDPAR
(5,2),(2,13),0.70752 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),0.607803 # DEPENDENCYPART_GRANDPAR
(5,2),(2,15),0.601963 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),0.369171 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),0.376946 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),0.362129 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),0.711912 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),0.641151 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),0.650722 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),0.608521 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),0.678622 # DEPENDENCYPART_GRANDPAR
(5,3),(3,10),0.597138 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),0.598916 # DEPENDENCYPART_GRANDPAR
(5,3),(3,12),0.652579 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),0.707314 # DEPENDENCYPART_GRANDPAR
(5,3),(3,14),0.607803 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),0.601963 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),0.370397 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),0.378172 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),0.35158 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),0.711912 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),0.641151 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),0.650722 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),0.608521 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),0.678622 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),0.597138 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),0.598916 # DEPENDENCYPART_GRANDPAR
(5,4),(4,12),0.652579 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),0.707314 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),0.607803 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),0.601963 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),0.781113 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.709354 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.665867 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.737869 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.65532 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),0.656986 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),0.711826 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),0.767141 # DEPENDENCYPART_GRANDPAR
(5,6),(6,14),0.665747 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),0.66027 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),0.776373 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.720774 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.659725 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.735429 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.650125 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.650844 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.709386 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),0.762047 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),0.660079 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),0.654601 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),0.772328 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.705505 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.711138 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.728915 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.647514 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),0.64918 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),0.702872 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),0.758355 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),0.657942 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),0.652464 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),0.77843 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.708603 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.712891 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.670834 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.650202 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),0.651311 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.711061 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),0.763806 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),0.66063 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),0.655875 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,10),(10,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),0.781113 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.713921 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.71918 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.676742 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),0.748297 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.656986 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.711826 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.767141 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),0.665747 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),0.66027 # DEPENDENCYPART_GRANDPAR
(5,11),(11,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,11),(11,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),0.772328 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),0.705505 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),0.711138 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),0.668936 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),0.739038 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.661491 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),0.702872 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),0.758355 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),0.657942 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),0.652464 # DEPENDENCYPART_GRANDPAR
(5,12),(12,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,12),(12,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,12),(12,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,12),(12,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,12),(12,5),0.77843 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,12),(12,6),0.708603 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),0.712891 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),0.670834 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),0.749317 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),0.664589 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),0.661585 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),0.763806 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),0.66063 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),0.655875 # DEPENDENCYPART_GRANDPAR
(5,13),(13,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,13),(13,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,13),(13,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,13),(13,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,13),(13,5),0.773621 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,13),(13,6),0.712548 # DEPENDENCYPART_GRANDPAR
(5,13),(13,7),0.711962 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),0.669524 # DEPENDENCYPART_GRANDPAR
(5,13),(13,9),0.740349 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.668535 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),0.660525 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),0.714667 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),0.66024 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),0.654763 # DEPENDENCYPART_GRANDPAR
(5,14),(14,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,14),(14,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,14),(14,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,14),(14,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,14),(14,5),0.777058 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,14),(14,6),0.709713 # DEPENDENCYPART_GRANDPAR
(5,14),(14,7),0.715159 # DEPENDENCYPART_GRANDPAR
(5,14),(14,8),0.672839 # DEPENDENCYPART_GRANDPAR
(5,14),(14,9),0.743668 # DEPENDENCYPART_GRANDPAR
(5,14),(14,10),0.665699 # DEPENDENCYPART_GRANDPAR
(5,14),(14,11),0.663234 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),0.717625 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),0.77246 # DEPENDENCYPART_GRANDPAR
(5,14),(14,15),0.656367 # DEPENDENCYPART_GRANDPAR
(5,15),(15,1),0.31867 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),0.326652 # DEPENDENCYPART_GRANDPAR
(5,15),(15,3),0.298779 # DEPENDENCYPART_GRANDPAR
(5,15),(15,4),0.300678 # DEPENDENCYPART_GRANDPAR
(5,15),(15,5),0.777058 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,15),(15,6),0.709713 # DEPENDENCYPART_GRANDPAR
(5,15),(15,7),0.715159 # DEPENDENCYPART_GRANDPAR
(5,15),(15,8),0.672839 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),0.743668 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),0.665699 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),0.663234 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),0.717625 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),0.77246 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),0.674423 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),0.364057 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),0.350919 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),0.341851 # DEPENDENCYPART_GRANDPAR
(6,1),(1,5),0.345657 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),0.592873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,1),(1,7),0.616312 # DEPENDENCYPART_GRANDPAR
(6,1),(1,8),0.600889 # DEPENDENCYPART_GRANDPAR
(6,1),(1,9),0.678413 # DEPENDENCYPART_GRANDPAR
(6,1),(1,10),0.617092 # DEPENDENCYPART_GRANDPAR
(6,1),(1,11),0.559779 # DEPENDENCYPART_GRANDPAR
(6,1),(1,12),0.613677 # DEPENDENCYPART_GRANDPAR
(6,1),(1,13),0.618423 # DEPENDENCYPART_GRANDPAR
(6,1),(1,14),0.591776 # DEPENDENCYPART_GRANDPAR
(6,1),(1,15),0.579928 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),0.336697 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),0.359468 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.351026 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.356694 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),0.59311 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),0.616904 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),0.601126 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),0.678649 # DEPENDENCYPART_GRANDPAR
(6,2),(2,10),0.617329 # DEPENDENCYPART_GRANDPAR
(6,2),(2,11),0.560016 # DEPENDENCYPART_GRANDPAR
(6,2),(2,12),0.613914 # DEPENDENCYPART_GRANDPAR
(6,2),(2,13),0.618866 # DEPENDENCYPART_GRANDPAR
(6,2),(2,14),0.592013 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),0.580165 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),0.330563 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),0.352761 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.341698 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),0.34483 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),0.592873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),0.616312 # DEPENDENCYPART_GRANDPAR
(6,3),(3,8),0.600889 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),0.678413 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),0.617092 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),0.559779 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),0.613677 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),0.618423 # DEPENDENCYPART_GRANDPAR
(6,3),(3,14),0.591776 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),0.579928 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),0.330563 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),0.352761 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),0.34052 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.350425 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),0.592873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),0.616312 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),0.600889 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),0.678413 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),0.617092 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),0.559779 # DEPENDENCYPART_GRANDPAR
(6,4),(4,12),0.613677 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),0.618423 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),0.591776 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),0.579928 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),0.333262 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),0.35411 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.341073 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.330815 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),0.592873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),0.616312 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),0.601345 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),0.678413 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),0.617092 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),0.559779 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),0.613677 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),0.618423 # DEPENDENCYPART_GRANDPAR
(6,5),(5,14),0.591776 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),0.579928 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),0.280347 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),0.301766 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),0.290029 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),0.277244 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),0.283197 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),0.66293 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.65043 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.733507 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.668456 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),0.60932 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),0.669683 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),0.67121 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),0.642229 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),0.630381 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),0.280347 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),0.301766 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),0.290029 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),0.277244 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),0.283197 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),0.653289 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.678551 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.729408 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.667983 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.60932 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),0.665584 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),0.669182 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),0.641992 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),0.630145 # DEPENDENCYPART_GRANDPAR
(6,9),(9,1),0.280584 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),0.302003 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),0.290266 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),0.277481 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),0.283639 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),0.660153 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.687215 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.668053 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.673754 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),0.614534 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),0.679584 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),0.678258 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),0.647764 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),0.636278 # DEPENDENCYPART_GRANDPAR
(6,10),(10,1),0.280347 # DEPENDENCYPART_GRANDPAR
(6,10),(10,2),0.301766 # DEPENDENCYPART_GRANDPAR
(6,10),(10,3),0.290029 # DEPENDENCYPART_GRANDPAR
(6,10),(10,4),0.277244 # DEPENDENCYPART_GRANDPAR
(6,10),(10,5),0.283197 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),0.6539 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,7),0.678788 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),0.661305 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),0.741431 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),0.60932 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),0.666732 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),0.670162 # DEPENDENCYPART_GRANDPAR
(6,10),(10,14),0.641992 # DEPENDENCYPART_GRANDPAR
(6,10),(10,15),0.630145 # DEPENDENCYPART_GRANDPAR
(6,11),(11,1),0.280347 # DEPENDENCYPART_GRANDPAR
(6,11),(11,2),0.301766 # DEPENDENCYPART_GRANDPAR
(6,11),(11,3),0.290029 # DEPENDENCYPART_GRANDPAR
(6,11),(11,4),0.277244 # DEPENDENCYPART_GRANDPAR
(6,11),(11,5),0.283197 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),0.653289 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,7),0.678551 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),0.661305 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),0.739977 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),0.677508 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),0.665584 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),0.669182 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),0.641992 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),0.630145 # DEPENDENCYPART_GRANDPAR
(6,12),(12,1),0.280584 # DEPENDENCYPART_GRANDPAR
(6,12),(12,2),0.302003 # DEPENDENCYPART_GRANDPAR
(6,12),(12,3),0.290266 # DEPENDENCYPART_GRANDPAR
(6,12),(12,4),0.277481 # DEPENDENCYPART_GRANDPAR
(6,12),(12,5),0.283639 # DEPENDENCYPART_GRANDPAR
(6,12),(12,6),0.660153 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
